question,answer,options,answer_idx
"A 32-year-old woman presents to her primary care physician for a general wellness appointment. The patient has no complaints currently and just wants to be sure that she is in good health. The patient has a past medical history of asthma, hypertension, and anxiety. Her current medications include albuterol, fluticasone, hydrochlorothiazide, lisinopril, and fexofenadine. Her temperature is 99.5°F (37.5°C), blood pressure is 165/95 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. On exam, you note a healthy young woman with a lean habitus. Cardiac exam reveals a S1 and S2 heart sound with a normal rate. Pulmonary exam is clear to auscultation bilaterally with good air movement. Abdominal exam reveals a bruit, normoactive bowel sounds, and an audible borborygmus. Neurological exam reveals cranial nerves II-XII as grossly intact with normal strength and reflexes in the upper and lower extremities. Which of the following is the best next step in management?",Ultrasound with doppler,"{ ""A"": ""Raise lisinopril dose"", ""B"": ""Add furosemide"", ""C"": ""Ultrasound with doppler"", ""D"": ""No additional management needed"" }",C
"A 46-year-old man comes to the emergency department because of a 10-day history of right upper quadrant abdominal pain. He has also been feeling tired and nauseous for the past 6 weeks. On examination, scleral icterus is present. Abdominal examination shows tenderness to palpation in the right upper quadrant. The liver edge is palpated 2 cm below the right costal margin. Laboratory studies show: Aspartate aminotransferase 1780 U/L Alanine aminotransferase 2520 U/L Hepatitis A IgM antibody Negative Hepatitis B surface antigen Negative Hepatitis B surface antibody Negative Hepatitis B core IgM antibody Positive Hepatitis C antibody Positive Hepatitis C RNA Negative Which of the following is the best course of action for this patient?""",Supportive therapy,"{ ""A"": ""Ribavirin and interferon"", ""B"": ""Supportive therapy"", ""C"": ""Emergency liver transplantation"", ""D"": ""Pegylated interferon-alpha"" }",B
"A 5-year-old boy who recently emigrated from Nigeria is brought to the emergency department because of a 2-day history of lower leg weakness, swallowing difficulty, and drooling of saliva. He has not yet received any childhood vaccinations. Two days after admission, the patient develops shortness of breath. Pulse oximetry shows an oxygen saturation of 64%. Despite resuscitative efforts, the patient dies of respiratory failure. At autopsy, examination of the spinal cord shows destruction of the anterior horn cells. Neurological examination of this patient would have most likely shown which of the following findings?",Hyporeflexia,"{ ""A"": ""Positive Babinski sign"", ""B"": ""Hyporeflexia"", ""C"": ""Myoclonus"", ""D"": ""Pronator drift"" }",B
"A 30-year-old woman is brought to the urgent care clinic by her husband. She complains of numbness around her lips and a tingling sensation in her hands and feet. She underwent near-total thyroidectomy for an enlarged thyroid gland a month ago. Vital signs include: blood pressure is 130/70 mm Hg, pulse is 72/min, respiratory rate is 16/min, and temperature is 37.0°C (98.6°F). A surgical incision scar is present in the anterior aspect of the neck. The attending physician inflates the blood pressure cuff above 150 mm Hg and observes the patient a couple of minutes while measuring her blood pressure. The patient develops sudden stiffness and tingling in her hand. Blood test results are as follows: Hemoglobin (Hb%) 10.2 g/dL White blood cell count 7000/mm3 Platelet count 160,000/mm3 Calcium, serum (Ca2+) 6.0 mg/dL Albumin 4 g/dL Alanine aminotransferase (ALT), serum 15 U/L Aspartate aminotransferase (AST), serum 8 U/L Serum creatinine 0.5 mg/dL Urea 27 mg/dL Sodium 137 mEq/L Potassium 4.5 mEq/L Magnesium 2.5 mEq/L Urinalysis shows no white or red blood cells and leukocyte esterase is negative. Which of the following is the next best step in the management of this patient?",Serum parathyroid hormone (PTH) level,"{ ""A"": ""CT scan abdomen with pancreatic protocol"", ""B"": ""Serum vitamin D level"", ""C"": ""24-hour urinary calcium"", ""D"": ""Serum parathyroid hormone (PTH) level"" }",D
"A woman with coronary artery disease is starting to go for a walk. As she begins, her heart rate accelerates from a resting pulse of 60 bpm until it reaches a rate of 120 bpm, at which point she begins to feel a tightening in her chest. She stops walking to rest and the tightening resolves. This has been happening to her consistently for the last 6 months. Which of the following is a true statement?",Increasing the heart rate decreases the relative amount of time spent during diastole,"{ ""A"": ""Increasing the heart rate increases the amount of time spent during each cardiac cycle"", ""B"": ""Increasing the heart rate decreases the relative amount of time spent during diastole"", ""C"": ""Perfusion of the myocardium takes place primarily during systole"", ""D"": ""Perfusion of the myocardium takes place equally throughout the cardiac cycle"" }",B
"A 22-year-old female presents to her physician for evaluation of a vaginal discharge, itching, and irritation. She recently started a new relationship with her boyfriend, who is her only sexual partner. He does not report any genitourinary symptoms. She takes oral contraceptives and does not use barrier contraception. The medical history is unremarkable. The vital signs are within normal limits. A gynecologic examination reveals a thin, yellow, frothy vaginal discharge with a musty, unpleasant odor and numerous punctate red maculae on the ectocervix. The remainder of the exam is normal. Which of the following organisms will most likely be revealed on wet mount microscopy?",Motile round or oval-shaped microorganisms,"{ ""A"": ""Budding yeasts cells and/or pseudohyphae"", ""B"": ""Epithelial cells covered by numerous bacterial cells"", ""C"": ""Motile round or oval-shaped microorganisms"", ""D"": ""Chains of cocci"" }",C
"A 53-year-old woman with hypertension and hyperlipidemia comes to the physician because of generalized reddening of her skin and itching for the past 2 weeks. Her symptoms occur every evening before bedtime and last for about 30 minutes. Three months ago, atorvastatin was stopped after she experienced progressively worsening neck and back pain. Statin therapy was reinitiated at lower doses 3 weeks ago but had to be stopped again after her musculoskeletal symptoms recurred. Her menses occur irregularly at 2–3 month intervals and last for 3–4 days. She has smoked one pack of cigarettes daily for the past 30 years. Her current medications include lisinopril and niacin. Her brother died of colonic adenocarcinoma, and her father died of small cell lung cancer. She is 169 cm (5 ft 6 in) tall and weighs 83 kg (183 lb); BMI is 29 kg/m2. Her vital signs are within normal limits. Physical examination shows no abnormalities. Serum lipid studies show: Total cholesterol 247 mg/dL HDL-cholesterol 39 mg/dL LDL-cholesterol 172 mg/dL Triglycerides 152 mg/dL Which of the following is the most appropriate next step in management?""",Administer ibuprofen,"{ ""A"": ""Administer ibuprofen"", ""B"": ""Measure urine hydroxyindoleacetic acid levels"", ""C"": ""Measure urine metanephrine levels"", ""D"": ""Switch niacin to fenofibrate"" }",A
"Five days after undergoing right knee arthroplasty for osteoarthritis, a 68-year-old man has severe pain in this right knee preventing him from participating in physical therapy. On the third postoperative day when the dressing was changed, the surgical wound appeared to be intact, slightly swollen, and had a clear secretion. He has a history of diabetes, hyperlipidemia, and hypertension. Current medications include metformin, enalapril, and simvastatin. His temperature is 37.3°C (99.1°F), pulse is 94/min, and blood pressure is 130/88 mm Hg. His right knee is swollen, erythematous, and tender to palpation. There is pain on movement of the joint. The medial parapatellar skin incision appears superficially opened in its proximal and distal part with yellow-green discharge. There is blackening of the skin on both sides of the incision. Which of the following is the next best step in the management of this patient?",Surgical debridement,"{ ""A"": ""Surgical debridement"", ""B"": ""Nafcillin therapy"", ""C"": ""Removal of prostheses"", ""D"": ""Antiseptic dressing\n\"""" }",A
"A 53-year-old woman comes to the physician in February because of a 1-day history of fever, chills, headache, and dry cough. She also reports malaise and generalized muscle aches. She works as a teacher at a local high school, where there was recently an outbreak of influenza. She has a history of intermittent asthma, for which she takes albuterol as needed. She declined the influenza vaccine offered in the fall because her sister told her that a friend developed a flulike illness after receiving the vaccine. She is worried about possibly becoming ill and cannot afford to miss work. Her temperature is 37.9°C (100.3°F), heart rate is 58/min, and her respirations are 12/min. Physical examination is unremarkable. Her hemoglobin concentration is 14.5 g/dL, leukocyte count is 9,400/mm3, and platelet count is 280,000/mm3. In addition to analgesia, which of the following is the most appropriate next step in management?",Oseltamivir,"{ ""A"": ""Supportive therapy only"", ""B"": ""Amantadine"", ""C"": ""Inactivated influenza vaccine"", ""D"": ""Oseltamivir"" }",D
"Red-green color blindness, an X-linked recessive disorder, has an incidence of 1/200 in males in a certain population. What is the probability of a phenotypically normal male and female having a child with red-green color blindness?",1/400,"{ ""A"": ""1/200"", ""B"": ""199/200"", ""C"": ""1/100"", ""D"": ""1/400"" }",D
"A 45-year-old man is transferred to the intensive care unit from the emergency department for acute respiratory failure. He was rushed to the hospital after developing progressive respiratory distress over the last 24 hours. His medical history is significant for long-standing severe persistent asthma, hypertension, and several bouts of community and hospital-acquired pneumonia. His medications include amlodipine, lisinopril, inhaled fluticasone, salmeterol, and oral prednisone. He is a lifelong non-smoker and drinks alcohol occasionally on the weekends. He works as a sales executive and went to Hawaii a month ago. In the emergency department, he was started on broad-spectrum antibiotics and bronchodilators. His respiratory failure progressively worsens, and on day 2 of admission, he requires mechanical ventilator support. Chest X-ray shows multiple nodules bilaterally in the lower lobes. Flexible bronchoscopy is performed and the bronchoalveolar lavage sample from the medial segment of the right lower lobe shows neutrophils, and the fungal preparation shows Aspergillus fumigatus. A video-assisted thoracoscopy is performed and biopsy from the right lower lobe is taken which shows plugging of the terminal bronchioles with mucus, inflammatory cells, and fungal vascular invasion. Which of the following is the most likely mechanism responsible for the biopsy findings?",Defects in the immune response,"{ ""A"": ""Defects in the immune response"", ""B"": ""Aspergillus fumigatus suppresses the production of IgA"", ""C"": ""Aspergillus fumigatus suppresses the production of IgM"", ""D"": ""Suppression of the innate immune system by Aspergillus fumigatus"" }",A
"A 70-year-old man comes to the physician because of a 4-month history of epigastric pain, nausea, and weakness. He has smoked one pack of cigarettes daily for 50 years and drinks one alcoholic beverage daily. He appears emaciated. He is 175 cm (5 ft 9 in) tall and weighs 47 kg (103 lb); BMI is 15 kg/m2. He is diagnosed with gastric cancer. Which of the following cytokines is the most likely direct cause of this patient’s examination findings?",IL-6,"{ ""A"": ""TGF-β"", ""B"": ""IL-6"", ""C"": ""IL-2"", ""D"": ""TNF-β"" }",B
"A 40-year-old woman comes to the physician because of a 1-week history of fatigue, dark urine, and a feeling of heaviness in her legs. Two weeks ago, she returned from a vacation to Brazil, where she spent most of her days exploring the city of Rio de Janeiro on foot. She also gained 3 kg (7 lb) during her vacation. She has systemic lupus erythematosus. Her only medication is hydroxychloroquine. Her temperature is 37.5°C (99.5°F), pulse is 78/min, and blood pressure is 162/98 mm Hg. Physical examination shows 2+ pretibial edema bilaterally. Urinalysis shows: Blood 3+ Protein 1+ RBC 6–8/hpf with dysmorphic features RBC casts numerous WBC 8/hpf WBC casts rare Bacteria negative Which of the following is the most likely cause of this patient's leg findings?""",Salt retention,"{ ""A"": ""Venous insufficiency"", ""B"": ""Lymphatic obstruction"", ""C"": ""Renal protein loss"", ""D"": ""Salt retention"" }",D
"A 67-year-old woman with advanced bladder cancer comes to the physician for a follow-up examination. She is currently undergoing chemotherapy with an agent that forms cross-links between DNA strands. Serum studies show a creatinine concentration of 2.1 mg/dL and a blood urea nitrogen concentration of 30 mg/dL. Urine dipstick of a clean-catch midstream specimen shows 2+ protein and 1+ glucose. Prior to initiation of chemotherapy, her laboratory values were within the reference range. In addition to hydration, administration of which of the following would most likely have prevented this patient's current condition?",Amifostine,"{ ""A"": ""Mesna"", ""B"": ""Amifostine"", ""C"": ""Rasburicase"", ""D"": ""Leucovorin"" }",B
"A 57-year-old post-menopausal woman comes to the physician because of intermittent, bloody post-coital vaginal discharge for the past month. She does not have pain with intercourse. Eleven years ago, she had LSIL on a routine Pap smear and testing for high-risk HPV strains was positive. Colposcopy showed CIN 1. She has not returned for follow-up Pap smears since then. She is sexually active with her husband only, and they do not use condoms. She has smoked half a pack of cigarettes per day for the past 25 years and does not drink alcohol. On speculum exam, a 1.4 cm, erythematous exophytic mass with ulceration is noted on the posterior wall of the upper third of the vagina. Which of the following is the most probable histopathology of this mass?",Squamous cell carcinoma,"{ ""A"": ""Squamous cell carcinoma"", ""B"": ""Basal cell carcinoma"", ""C"": ""Melanoma"", ""D"": ""Sarcoma botryoides"" }",A
"Three days after starting a new drug for malaria prophylaxis, a 19-year-old college student comes to the physician because of dark-colored urine and fatigue. He has not had any fever, dysuria, or abdominal pain. He has no history of serious illness. Physical examination shows scleral icterus. Laboratory studies show a hemoglobin of 9.7 g/dL and serum lactate dehydrogenase of 234 U/L. Peripheral blood smear shows poikilocytes with bite-shaped irregularities. Which of the following drugs has the patient most likely been taking?",Primaquine,"{ ""A"": ""Primaquine"", ""B"": ""Dapsone"", ""C"": ""Ivermectin"", ""D"": ""Doxycycline"" }",A
"You are reviewing raw data from a research study performed at your medical center examining the effectiveness of a novel AIDS screening examination. The study enrolled 250 patients with confirmed AIDS, and 240 of these patients demonstrated a positive screening examination. The control arm of the study enrolled 250 patients who do not have AIDS, and only 5 of these patients tested positive on the novel screening examination. What is the NPV of this novel test?",245 / (245 + 10),"{ ""A"": ""245 / (245 + 10)"", ""B"": ""245 / (245 + 5)"", ""C"": ""240 / (240 + 5)"", ""D"": ""240 / (240 + 15)"" }",A
